Question;Answer;AnswerPl;Type;Qualification;IsActive
Can only virtual methods be overwritten?;Only virtual methods and properties, unless the class only has a method definition with the word abstract, then we have to override.;Tylko wirtualne metody i propercje, chyba, że klasa ma zadeklarowaną tylko definicję metody ze słowem abstract, to wtedy musimy zrobić override.;OOP;;false
How does waitForAsync work?;waitForAsync tells Angular to run code in a dedicated test zone that captures all promises. Then we can use whenStable command on the component's fixture and as soon as the state is stable - all asynchronous operations will be resolved.;waitForAsync daje znać Angularowi, żeby uruchomić kod w dedykowanym testowym obszarze (zone), które przechwytuje wszystkie promisy. Następnie komendą whenStable na fixture componentu możemy operować jak już stan będzie stabilny - wszystkie operacje asynchroniczne będą resolved.;Testing;;true
What are browser Web APIs? (WebAPI);These are mechanisms provided by the browser, with the help of which we have additional functionalities, i.e. asynchronous JavaScript. Calle for Web API are added to Web API Container from Call Stack. These calls remain inside the Web API Container until they are completed, then they go to the Callback Queue.;To mechanizmy dostarczane przez przeglądarkę, za pomocą których mamy dodatkowe funkcjonalności, tj. asynchroniczność JavaScripta. Calle do Web API  są dodawane do Web API Container'a z Call Stacku. Te calle pozostają wewnątrz Web API Container'a do momentu ich zakończenia, wtedy trafiają na Callback Queue.;JavaScript;;true
Explain Container Components and Presentation Components.;Container Components are components that collect data from Store and pass it down to Presentation Components. All they do is subscribe to Store and dispatch certain actions based on the broadcast events from Presentation Components. The use of the OnPush change detection method is very suitable here, with a significant improvement in performance, and the overall syntax of the components is clearer and divided into responsibilities.;Container Components są komponentami, które zbierają dane ze Stora i przekazują je niżej do Presentation Components. Wszystko co robią to subskrybują do Stora i na podstawie wyemitowanych eventów z Presentation Componentów dispatchują określone akcje. Bardzo pasuje tutaj użycie metody detekcji zmian OnPush, co idzie ze znaczną poprawą wydajności oraz ogólna składnia komponentów jest bardziej przejrzysta i podzielona na obowiązki.;Angular;;false
Tell me about the directives in Angular.;Directives are custom HTML elements or attributes that are used to extend HTML. There are three types of directives: 1. Component directives - a directive with a template. 2. Structural directives - change the DOM layout and add or remove DOM elements, eg ngIf, ngFor, ngSwitch. 3. Attributes directives - change the look or behavior of an element, eg ngStyle.;Dyrektywy są to customowe HTML elementy albo atrybuty, używane do rozszerzenia HTMLa. Są trzy typy dyrektw: 1. Dyrektywy Componenty - dyrektywa z templatem. 2. Dyrektywy strukturalne - zmieniają DOM layout i dodają lub usuwają DOM elementy, np. ngIf, ngFor, ngSwitch. 3. Dyrektywy atrybuty - zmieniają wyghląd albo zachowanie elementu, np. ngStyle.;Angular;;true
What is Renderer2?;It is an Angular service that allows you to track and manipulate items in view without directly touching the DOM.;Jest to serwis w Angularze, który pozwala na śledzenie i manipulację elementami na widoku bez potrzeby bezpośrednego dotykania DOM.;Angular;;true
What is the difference between inline, embedded and external style sheets?;Inline Style Sheet is used in a specific HTML Tag and is used to style only that HTML Element. Embedded Style Sheets are put between the <head>...</head> tags within <style> element. This applys the style to all the pages within our website. With an external style sheet, we include a reference to the external style sheet file inside the <link> element, inside the <head> section.;Inline Style Sheet jest używany w Tagu HTML i służy do stylizowania tylko tego Elementu HTML. Embedded Style Sheets są umieszczane między znacznikami <head>...</head> w elemencie <style>. Stosuje to styl do wszystkich stron w naszej aplikacji. W zewnętrznym arkuszu stylów dołączamy odniesienie do zewnętrznego pliku arkusza stylów wewnątrz elementu <link>, wewnątrz sekcji <head>.;CSS;;true
How is a CSS selector used?;With a CSS selector, we can choose the content we want to style in HTML document. CSS selector is selecting HTML elements based on their class, id, type, etc.;Za pomocą selektora CSS możemy wybrać treść, którą chcemy stylizować w dokumencie HTML. Selektor CSS wybiera elementy HTML na podstawie ich klasy, identyfikatora, typu itp.;CSS;;true
What are the priorities for CSS conflict resolution? (CSS conflict, CSS priority);Highest priority has !important, then inline styles -> IDs -> Classes, pseudo-classes, attrubute -> Elements, pseudo-elements;Największy priorytet ma !import, następnie inline styles -> IDs -> Classes, pseudo-classes, attrubute -> Elements, pseudo-elements;CSS;;true
Explain how the ::after pseudo-class works.;The new elementB defined in elementA::after is treated as the child of element, so height:100% will be 100% of the height of elementA.;Nowy elementB definiowany w elementA::after jest traktowany jako child elementuA więc height: 100% będzie miało 100% wysokości elementuA.;CSS;;false
Why don't we create one SharedModule for the entire application?;SharedModule cannot be an all-in-one module. This is a common mistake among Angular Developers - one SharedModule with all shared Components is created at the same level. If each shared Component does not have its own module then its dependencies are directly in the SharedModule. Very quickly the number of Components in a SharedModule will be too large and unreadable. Ultimately, it turns out that SharedModule is a list of all Components shared across the entire application, and it is not possible to use a separate Component without importing the entire SharedModule. Admittedly, these dependencies are simple and clear for Angular, and the application does not grow many times over such a SharedModule architecture. Angular imports the SharedModule only once and identifies exactly which Component we need in our feature Module, but we want our feature Module to be transparent also for the developer. For this to happen, we only need to import a specific Component instead of the entire SharedModule.;SharedModule nie może być all-in-one modułem. Jest to typowy błąd wśród Angular Developerów - jeden SharedModule ze wszystkimi shared Componentami jest tworzone na tym samym poziomie. Jeżeli każdy shared Component nie ma swojego własnego modułu wtedy jego dependencies znajdują się bezpośrednio w SharedModule. Bardzo szybko ilość Componentów w SharedModule będzie zbyt duża i nieczytelna. Ostatecznie wychodzi na to, że SharedModule jest listą wszystkich Componentów dzielonych w całej aplikacji i nie jest możliwe użycie oddzielnego Componentu bez importowania całego SharedModule. Co prawda dla Angulara te zależności są proste i jasne, i aplikacja nie rośnie wielokrotnie przez taką architekturę SharedModule. Angular importuje SharedModule tylko raz i identyfikuje dokładnie jakiego Componentu potrzebujemy w swoim feature Module, jednak chcemy, żeby nasz feature Module przejrzyste informacje również dla developera. Żeby tak się działo musimy importować tylko konkretny Component zamiast całego SharedModule.;Angular;;true
